run_id,record_tag,timestamp_utc,task_manager,global_planner,local_planner,packages_delivered,pph,simulation_seconds,real_runtime_seconds,agent_count,loading_port_count,unloading_port_count,map_width,map_height,resolution,steps_per_second,total_distance_travelled,avg_distance_travelled,max_distance_travelled,global_plan_calls,replan_events,total_contact_frames,total_collision_events,agent_agent_collision_events,agent_wall_collision_events,state_time_ratios,contact_frame_counts,collision_event_counts,max_queue_lengths
20260804T141753Z_5e1f6063,stage_chain_medium_60s_LayeredAStar_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:19:16.522498Z,NaiveTaskManager,LayeredAStar,VirtualForcePlanner,0,0.0,60.0,83.147,4,2,2,20,20,1,20,41.074,10.268,20.813,2031,1097,1,1,1,0,"{""CRUISE"": 0.0868, ""QUEUING"": 0.9132}","{""agent__agent"": 1}","{""agent__agent"": 1}","{""0"": 0, ""1"": 0}"
20260804T141853Z_ffaaaffe,planner_matrix_baseline_60s_LayeredAStar_FLCPlanner_NaiveTaskManager,2026-08-04T14:19:19.127829Z,NaiveTaskManager,LayeredAStar,FLCPlanner,0,0.0,60.0,25.499,2,1,1,12,12,1,10,8.067,4.033,6.612,567,21,0,0,0,0,"{""CRUISE"": 0.0341, ""QUEUING"": 0.9659}",{},{},"{""0"": 0}"
20260804T141929Z_a6d90f30,planner_matrix_baseline_60s_RRTStar_DullPlanner_NaiveTaskManager,2026-08-04T14:19:48.077217Z,NaiveTaskManager,RRTStar,DullPlanner,4,240.0,60.0,18.087,2,1,1,12,12,1,10,142.365,71.183,73.143,30,0,17,17,17,0,"{""CRUISE"": 0.4684, ""LOADING"": 0.1789, ""QUEUING"": 0.3527}","{""agent__agent"": 17}","{""agent__agent"": 17}","{""0"": 0}"
20260804T141925Z_c6309ae0,stage_chain_small_60s_LayeredAStarReservationAware_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:19:49.705378Z,NaiveTaskManager,LayeredAStarReservationAware,VirtualForcePlanner,0,0.0,60.0,24.251,2,1,1,12,12,1,10,6.517,3.258,5.4,1160,1157,0,0,0,0,"{""CRUISE"": 0.0233, ""QUEUING"": 0.9767}",{},{},"{""0"": 0}"
20260804T141958Z_fdd6664a,planner_matrix_baseline_60s_RRTStar_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:20:21.280145Z,NaiveTaskManager,RRTStar,VirtualForcePlanner,4,240.0,60.0,22.701,2,1,1,12,12,1,10,139.969,69.984,70.577,29,0,0,0,0,0,"{""CRUISE"": 0.4775, ""LOADING"": 0.1997, ""QUEUING"": 0.3228}",{},{},"{""0"": 0}"
20260804T141959Z_57ada7a3,stage_chain_small_60s_LayeredAStarQueueAware_DullPlanner_NaiveTaskManager,2026-08-04T14:20:30.068803Z,NaiveTaskManager,LayeredAStarQueueAware,DullPlanner,1,60.0,60.0,30.711,2,1,1,12,12,1,10,33.555,16.778,17.442,973,965,1,1,1,0,"{""CRUISE"": 0.886, ""LOADING"": 0.0549, ""QUEUING"": 0.0591}","{""agent__agent"": 1}","{""agent__agent"": 1}","{""0"": 0}"
20260804T141903Z_652f490d,task_manager_medium_60s_LayeredAStarCollisionAware_VirtualForcePlanner_CongestionAwareTaskManager,2026-08-04T14:20:49.015347Z,CongestionAwareTaskManager,LayeredAStarCollisionAware,VirtualForcePlanner,0,0.0,60.0,105.418,4,2,2,20,20,1,20,39.184,9.796,20.775,3141,3133,0,0,0,0,"{""CRUISE"": 0.092, ""QUEUING"": 0.908}",{},{},"{""0"": 0, ""1"": 0}"
20260804T141927Z_816304fe,stage_chain_medium_60s_LayeredAStarCollisionAware_DullPlanner_NaiveTaskManager,2026-08-04T14:20:52.028877Z,NaiveTaskManager,LayeredAStarCollisionAware,DullPlanner,6,360.0,60.0,84.495,4,2,2,20,20,1,20,314.084,78.521,81.027,440,404,0,0,0,0,"{""CRUISE"": 0.7179, ""LOADING"": 0.127, ""QUEUING"": 0.1551}",{},{},"{""0"": 0, ""1"": 0}"
20260804T142034Z_9288b75c,planner_matrix_baseline_60s_RRTStar_RVOPlanner_NaiveTaskManager,2026-08-04T14:20:56.420621Z,NaiveTaskManager,RRTStar,RVOPlanner,4,240.0,60.0,21.817,2,1,1,12,12,1,10,134.301,67.151,71.865,64,0,19,19,19,0,"{""CRUISE"": 0.4426, ""LOADING"": 0.1797, ""QUEUING"": 0.3777}","{""agent__agent"": 19}","{""agent__agent"": 19}","{""0"": 0}"
20260804T142043Z_721aa6ca,stage_chain_small_60s_LayeredAStarQueueAware_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:21:12.948493Z,NaiveTaskManager,LayeredAStarQueueAware,VirtualForcePlanner,0,0.0,60.0,29.094,2,1,1,12,12,1,10,6.967,3.483,5.85,1137,1133,0,0,0,0,"{""CRUISE"": 0.0258, ""QUEUING"": 0.9742}",{},{},"{""0"": 0}"
