run_id,record_tag,timestamp_utc,task_manager,global_planner,local_planner,packages_delivered,pph,simulation_seconds,real_runtime_seconds,agent_count,loading_port_count,unloading_port_count,map_width,map_height,resolution,steps_per_second,total_distance_travelled,avg_distance_travelled,max_distance_travelled,global_plan_calls,replan_events,total_contact_frames,total_collision_events,agent_agent_collision_events,agent_wall_collision_events,state_time_ratios,contact_frame_counts,collision_event_counts,max_queue_lengths
20260804T142957Z_cef300cc,task_manager_medium_60s_LayeredAStarQueueAware_VirtualForcePlanner_CongestionAwareTaskManager,2026-08-04T14:30:52.459601Z,CongestionAwareTaskManager,LayeredAStarQueueAware,VirtualForcePlanner,0,0.0,60.0,55.443,4,2,2,20,20,1,20,39.184,9.796,20.775,3142,3134,0,0,0,0,"{""CRUISE"": 0.092, ""QUEUING"": 0.908}",{},{},"{""0"": 0, ""1"": 0}"
20260804T143025Z_832a4968,stage_chain_high_60s_LayeredAStarQueueAware_DullPlanner_NaiveTaskManager,2026-08-04T14:31:38.249143Z,NaiveTaskManager,LayeredAStarQueueAware,DullPlanner,7,420.0,60.0,72.804,6,3,3,24,24,1,20,478.877,79.813,81.081,569,523,18,18,18,0,"{""CRUISE"": 0.7706, ""LOADING"": 0.1092, ""QUEUING"": 0.1202}","{""agent__agent"": 18}","{""agent__agent"": 18}","{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T143057Z_62c45fbd,task_manager_medium_60s_LayeredAStarQueueAware_DullPlanner_NaiveTaskManager,2026-08-04T14:31:45.976115Z,NaiveTaskManager,LayeredAStarQueueAware,DullPlanner,5,300.0,60.0,48.725,4,2,2,20,20,1,20,289.682,72.421,81.026,753,721,0,0,0,0,"{""CRUISE"": 0.7644, ""LOADING"": 0.1184, ""QUEUING"": 0.1172}",{},{},"{""0"": 0, ""1"": 0}"
20260804T143008Z_a2c23c5b,task_manager_high_60s_LayeredAStarReservationAware_DullPlanner_NaiveTaskManager,2026-08-04T14:32:08.503481Z,NaiveTaskManager,LayeredAStarReservationAware,DullPlanner,3,180.0,60.0,120.283,6,3,3,24,24,1,20,233.569,38.928,83.554,3959,3932,1068,1068,1068,0,"{""CRUISE"": 0.6299, ""LOADING"": 0.0479, ""QUEUING"": 0.3222}","{""agent__agent"": 1068}","{""agent__agent"": 1068}","{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T143150Z_a88c2624,task_manager_medium_60s_LayeredAStarQueueAware_DullPlanner_CongestionAwareTaskManager,2026-08-04T14:32:39.390256Z,CongestionAwareTaskManager,LayeredAStarQueueAware,DullPlanner,5,300.0,60.0,48.614,4,2,2,20,20,1,20,264.991,66.248,81.027,1122,1076,404,404,404,0,"{""CRUISE"": 0.6214, ""LOADING"": 0.0962, ""QUEUING"": 0.2825}","{""agent__agent"": 404}","{""agent__agent"": 404}","{""0"": 0, ""1"": 0}"
20260804T143143Z_7de02e92,stage_chain_high_60s_LayeredAStarQueueAware_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:33:08.889890Z,NaiveTaskManager,LayeredAStarQueueAware,VirtualForcePlanner,0,0.0,60.0,84.955,6,3,3,24,24,1,20,178.151,29.692,67.202,2886,2561,0,0,0,0,"{""CRUISE"": 0.2095, ""LOADING"": 0.0115, ""QUEUING"": 0.7789}",{},{},"{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T143213Z_548a8cb5,task_manager_high_60s_LayeredAStarReservationAware_DullPlanner_CongestionAwareTaskManager,2026-08-04T14:33:49.828708Z,CongestionAwareTaskManager,LayeredAStarReservationAware,DullPlanner,3,180.0,60.0,96.047,6,3,3,24,24,1,20,222.312,37.052,78.11,4124,4097,1068,1068,1068,0,"{""CRUISE"": 0.6181, ""LOADING"": 0.0466, ""QUEUING"": 0.3353}","{""agent__agent"": 1068}","{""agent__agent"": 1068}","{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T143354Z_55a2f648,task_manager_high_60s_LayeredAStarQueueAware_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:34:59.150972Z,NaiveTaskManager,LayeredAStarQueueAware,VirtualForcePlanner,0,0.0,60.0,64.917,6,3,3,24,24,1,20,178.151,29.692,67.202,2886,2561,0,0,0,0,"{""CRUISE"": 0.2095, ""LOADING"": 0.0115, ""QUEUING"": 0.7789}",{},{},"{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T143503Z_30140133,task_manager_high_60s_LayeredAStarQueueAware_VirtualForcePlanner_CongestionAwareTaskManager,2026-08-04T14:36:07.124780Z,CongestionAwareTaskManager,LayeredAStarQueueAware,VirtualForcePlanner,0,0.0,60.0,64.051,6,3,3,24,24,1,20,178.151,29.692,67.202,2886,2561,0,0,0,0,"{""CRUISE"": 0.2095, ""LOADING"": 0.0115, ""QUEUING"": 0.7789}",{},{},"{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T143611Z_08876778,task_manager_high_60s_LayeredAStarQueueAware_DullPlanner_NaiveTaskManager,2026-08-04T14:36:58.339423Z,NaiveTaskManager,LayeredAStarQueueAware,DullPlanner,7,420.0,60.0,46.999,6,3,3,24,24,1,20,478.877,79.813,81.081,569,523,18,18,18,0,"{""CRUISE"": 0.7706, ""LOADING"": 0.1092, ""QUEUING"": 0.1202}","{""agent__agent"": 18}","{""agent__agent"": 18}","{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T143702Z_67fb2401,task_manager_high_60s_LayeredAStarQueueAware_DullPlanner_CongestionAwareTaskManager,2026-08-04T14:37:49.720809Z,CongestionAwareTaskManager,LayeredAStarQueueAware,DullPlanner,7,420.0,60.0,47.403,6,3,3,24,24,1,20,478.877,79.813,81.081,569,523,18,18,18,0,"{""CRUISE"": 0.7706, ""LOADING"": 0.1092, ""QUEUING"": 0.1202}","{""agent__agent"": 18}","{""agent__agent"": 18}","{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T181929Z_fa5d7568,stage_chain_bta_small_60s_LayeredAStarBaselineTrafficAware_DullPlanner_NaiveTaskManager,2026-08-04T18:19:39.303190Z,NaiveTaskManager,LayeredAStarBaselineTrafficAware,DullPlanner,1,60.0,60.0,9.685,2,1,1,12,12,1,10,162.839,81.42,81.453,71,63,0,0,0,0,"{""CRUISE"": 0.9093, ""LOADING"": 0.0549, ""QUEUING"": 0.0358}",{},{},"{""0"": 0}"
20260804T181955Z_2b026460,stage_chain_bta_medium_60s_LayeredAStarBaselineTrafficAware_DullPlanner_NaiveTaskManager,2026-08-04T18:20:29.000089Z,NaiveTaskManager,LayeredAStarBaselineTrafficAware,DullPlanner,6,360.0,60.0,33.512,4,2,2,20,20,1,20,312.506,78.126,81.017,294,261,0,0,0,0,"{""CRUISE"": 0.7625, ""LOADING"": 0.1253, ""QUEUING"": 0.1122}",{},{},"{""0"": 0, ""1"": 0}"
20260804T182042Z_4d9818b6,stage_chain_bta_high_60s_LayeredAStarBaselineTrafficAware_DullPlanner_NaiveTaskManager,2026-08-04T18:21:40.042751Z,NaiveTaskManager,LayeredAStarBaselineTrafficAware,DullPlanner,6,360.0,60.0,57.448,6,3,3,24,24,1,20,479.93,79.988,84.024,316,279,0,0,0,0,"{""CRUISE"": 0.8081, ""LOADING"": 0.0873, ""QUEUING"": 0.1046}",{},{},"{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T183548Z_62805dc8,stage_chain_small_60s_LayeredAStarBaselineTrafficAware_DullPlanner_NaiveTaskManager,2026-08-04T18:36:00.693076Z,NaiveTaskManager,LayeredAStarBaselineTrafficAware,DullPlanner,1,60.0,60.0,11.817,2,1,1,12,12,1,10,162.839,81.42,81.453,71,63,0,0,0,0,"{""CRUISE"": 0.9093, ""LOADING"": 0.0549, ""QUEUING"": 0.0358}",{},{},"{""0"": 0}"
20260804T183608Z_6f315c53,stage_chain_medium_60s_LayeredAStarBaselineTrafficAware_DullPlanner_NaiveTaskManager,2026-08-04T18:36:52.143796Z,NaiveTaskManager,LayeredAStarBaselineTrafficAware,DullPlanner,6,360.0,60.0,43.816,4,2,2,20,20,1,20,312.506,78.126,81.017,294,261,0,0,0,0,"{""CRUISE"": 0.7625, ""LOADING"": 0.1253, ""QUEUING"": 0.1122}",{},{},"{""0"": 0, ""1"": 0}"
20260804T183700Z_d9478227,stage_chain_high_60s_LayeredAStarBaselineTrafficAware_DullPlanner_NaiveTaskManager,2026-08-04T18:38:19.527169Z,NaiveTaskManager,LayeredAStarBaselineTrafficAware,DullPlanner,6,360.0,60.0,78.799,6,3,3,24,24,1,20,479.93,79.988,84.024,316,279,0,0,0,0,"{""CRUISE"": 0.8081, ""LOADING"": 0.0873, ""QUEUING"": 0.1046}",{},{},"{""0"": 0, ""1"": 0, ""2"": 0}"
