run_id,record_tag,timestamp_utc,task_manager,global_planner,local_planner,packages_delivered,pph,simulation_seconds,real_runtime_seconds,agent_count,loading_port_count,unloading_port_count,map_width,map_height,resolution,steps_per_second,total_distance_travelled,avg_distance_travelled,max_distance_travelled,global_plan_calls,replan_events,total_contact_frames,total_collision_events,agent_agent_collision_events,agent_wall_collision_events,state_time_ratios,contact_frame_counts,collision_event_counts,max_queue_lengths
20260804T141548Z_f78eaa81,smoke_baseline_small,2026-08-04T14:15:48.643669Z,NaiveTaskManager,LayeredAStar,DullPlanner,0,0.0,6.0,0.576,2,1,1,12,12,1,10,12.869,6.434,7.109,14,8,0,0,0,0,"{""CRUISE"": 0.4918, ""LOADING"": 0.2951, ""QUEUING"": 0.2131}",{},{},"{""0"": 0}"
20260804T141555Z_d075b8d6,smoke_v1_small,2026-08-04T14:15:55.923231Z,NaiveTaskManager,LayeredAStarCollisionAware,DullPlanner,0,0.0,6.0,0.612,2,1,1,12,12,1,10,14.57,7.285,8.81,19,13,0,0,0,0,"{""CRUISE"": 0.4918, ""LOADING"": 0.2049, ""QUEUING"": 0.3033}",{},{},"{""0"": 0}"
20260804T141602Z_6ee65619,smoke_v2_small,2026-08-04T14:16:03.839616Z,NaiveTaskManager,LayeredAStarReservationAware,DullPlanner,0,0.0,6.0,0.85,2,1,1,12,12,1,10,9.81,4.905,6.45,50,44,0,0,0,0,"{""CRUISE"": 0.4918, ""LOADING"": 0.1803, ""QUEUING"": 0.3279}",{},{},"{""0"": 0}"
20260804T141610Z_08fca335,smoke_v3_small,2026-08-04T14:16:11.859221Z,NaiveTaskManager,LayeredAStarQueueAware,DullPlanner,0,0.0,6.0,0.933,2,1,1,12,12,1,10,12.365,6.182,7.118,40,35,1,1,1,0,"{""CRUISE"": 0.4918, ""LOADING"": 0.1803, ""QUEUING"": 0.3279}","{""agent__agent"": 1}","{""agent__agent"": 1}","{""0"": 0}"
20260804T141618Z_cdb9c6bf,smoke_baseline_traffic_aware,2026-08-04T14:16:22.249845Z,NaiveTaskManager,LayeredAStarBaselineTrafficAware,DullPlanner,0,0.0,6.0,3.685,4,2,2,20,20,1,20,31.588,7.897,9.0,27,19,0,0,0,0,"{""CRUISE"": 0.8306, ""LOADING"": 0.0868, ""QUEUING"": 0.0826}",{},{},"{""0"": 0, ""1"": 0}"
